TXID: 8e7d832e-c436-4486-8eca-84f804e1aede | Timestamp: 2014-02-20T04:20:41 | Amount: 1604.22 | Currency: GBP | SenderAcct: 9825360614326898 | ReceiverAcct: 0845323509129135 | SenderCountry: BR | ReceiverCountry: CN | Purpose: PAYMENT | CustomerID: 2f860f15-72db-4eb3-928c-812e261b51bf | RiskRating: High | KYC: False | Retention: 7 | Initiator: EMP-0818 | Approver: EMP-5596 | SOF: None
TXID: 90d397f6-2d23-4982-9a1f-5c1590ce30cb | Timestamp: 1993-10-01T05:18:31 | Amount: 26103.34 | Currency: USD | SenderAcct: 9107959083743416 | ReceiverAcct: 2999188368076613 | SenderCountry: CN | ReceiverCountry: DE | Purpose: CASH | CustomerID: 8af8569f-2b5b-4d60-b45d-84d18de422b8 | RiskRating: Low | KYC: True | Retention: 3 | Initiator: EMP-3240 | Approver: EMP-8990 | SOF: Gift
TXID: a1c97c9b-527a-4a1f-8eaa-648981d33e35 | Timestamp: 2013-12-31T11:56:25 | Amount: 2155.27 | Currency: EUR | SenderAcct: 7182931078429826 | ReceiverAcct: 4665518910182395 | SenderCountry: CN | ReceiverCountry: BR | Purpose: CASH | CustomerID: 45c31dcb-0757-4b81-8b1a-75cece7d83c7 | RiskRating: Low | KYC: False | Retention: 10 | Initiator: EMP-3033 | Approver: EMP-3952 | SOF: None
TXID: 70907e22-0dd7-406e-84b4-c283950cffe3 | Timestamp: 2000-11-14T05:11:16 | Amount: 6229.56 | Currency: GBP | SenderAcct: 5991877561890915 | ReceiverAcct: 6082147629341227 | SenderCountry: BR | ReceiverCountry: BR | Purpose: CASH | CustomerID: 1aed5b5d-5d91-4f24-b837-c20af4c4d75a | RiskRating: High | KYC: False | Retention: 7 | Initiator: EMP-0511 | Approver: EMP-2148 | SOF: Investment
TXID: fb249953-9612-4b6c-9b90-c66ea54d044d | Timestamp: 2024-01-11T23:25:19 | Amount: 513.36 | Currency: EUR | SenderAcct: 6575897875676477 | ReceiverAcct: 5333387448626402 | SenderCountry: BR | ReceiverCountry: DE | Purpose: TRANSFER | CustomerID: e1aefae2-17cc-4acb-bae5-206f4163c031 | RiskRating: High | KYC: False | Retention: 1 | Initiator: EMP-6777 | Approver: EMP-2091 | SOF: Investment
TXID: b5a8e34b-8fb9-49bb-af65-74d1fb408974 | Timestamp: 1992-03-14T13:10:49 | Amount: 9974.71 | Currency: GBP | SenderAcct: 9601462983413815 | ReceiverAcct: 2332274583736713 | SenderCountry: BR | ReceiverCountry: US | Purpose: PAYMENT | CustomerID: 1942cd15-1578-44c4-ba49-e258530db2de | RiskRating: Medium | KYC: True | Retention: 10 | Initiator: EMP-5608 | Approver: EMP-1853 | SOF: Gift
TXID: a611e340-241f-49fa-a94a-201c747a7b6b | Timestamp: 2011-07-11T23:56:34 | Amount: 2279.87 | Currency: GBP | SenderAcct: 7403086027450253 | ReceiverAcct: 1091152789123540 | SenderCountry: CN | ReceiverCountry: CN | Purpose: TRANSFER | CustomerID: f8637d7b-f502-45ed-924a-dcb75a2658bd | RiskRating: Medium | KYC: False | Retention: 5 | Initiator: EMP-2506 | Approver: EMP-8629 | SOF: None
TXID: ca02b1a4-3a1d-4c6d-8600-1feba4c1ed1d | Timestamp: 1983-11-04T09:42:53 | Amount: 5072.78 | Currency: USD | SenderAcct: 9731822733762474 | ReceiverAcct: 9510563294015800 | SenderCountry: BR | ReceiverCountry: CN | Purpose: PAYMENT | CustomerID: 4658b8f0-605d-4de7-805f-6cae9a8bac57 | RiskRating: Medium | KYC: True | Retention: 7 | Initiator: EMP-1351 | Approver: EMP-5120 | SOF: Gift
TXID: 05738e38-aa29-49e0-a467-3c70001c964f | Timestamp: 1988-05-27T07:47:18 | Amount: 13112.55 | Currency: GBP | SenderAcct: 8287274192400602 | ReceiverAcct: 2078327373840706 | SenderCountry: BR | ReceiverCountry: FR | Purpose: CASH | CustomerID: 12e7c441-55e0-435e-9891-54a43afd89b5 | RiskRating: High | KYC: True | Retention: 7 | Initiator: EMP-6254 | Approver: EMP-4560 | SOF: Investment
TXID: a63e104c-3695-4110-bc2e-de3a31e0bbcc | Timestamp: 1994-06-24T17:23:56 | Amount: 17693.19 | Currency: USD | SenderAcct: 5308776113306532 | ReceiverAcct: 7944956801647697 | SenderCountry: BR | ReceiverCountry: DE | Purpose: CASH | CustomerID: f8ba057e-d17e-4be4-b328-2e914067297c | RiskRating: High | KYC: True | Retention: 10 | Initiator: EMP-3742 | Approver: EMP-5254 | SOF: None
TXID: fd5cf1f1-f1b9-4bfb-988f-3b3efe8f3fcc | Timestamp: 2011-02-09T17:26:31 | Amount: 18411.65 | Currency: GBP | SenderAcct: 6051573605708340 | ReceiverAcct: 5850561181449939 | SenderCountry: CN | ReceiverCountry: DE | Purpose: CASH | CustomerID: 74b18654-8867-4485-80a3-165ed863d6d4 | RiskRating: High | KYC: False | Retention: 1 | Initiator: EMP-8107 | Approver: EMP-8501 | SOF: Gift
TXID: 3c80e6fc-c735-424d-af75-89a32f2c3f39 | Timestamp: 1971-11-24T22:25:33 | Amount: 12952.32 | Currency: GBP | SenderAcct: 1115340033921723 | ReceiverAcct: 0598335444186269 | SenderCountry: CN | ReceiverCountry: DE | Purpose: CASH | CustomerID: 08e0b329-b3ac-4e8e-b89c-c49edabbf36f | RiskRating: Low | KYC: False | Retention: 1 | Initiator: EMP-8756 | Approver: EMP-3404 | SOF: Salary
TXID: e7392cfd-3a4e-49b5-ad86-3b8f83c07f83 | Timestamp: 1992-08-07T21:17:16 | Amount: 4839.65 | Currency: USD | SenderAcct: 7036634293581515 | ReceiverAcct: 0774426108913348 | SenderCountry: US | ReceiverCountry: DE | Purpose: PAYMENT | CustomerID: 2d0e4ce8-3679-4e84-acd2-7d6fdf859f98 | RiskRating: High | KYC: True | Retention: 7 | Initiator: EMP-0700 | Approver: EMP-6349 | SOF: Investment
TXID: 869504cd-5944-493b-9b91-504c8329437e | Timestamp: 2016-07-13T07:53:49 | Amount: 14420.56 | Currency: EUR | SenderAcct: 7559354880725183 | ReceiverAcct: 8757055742252072 | SenderCountry: DE | ReceiverCountry: BR | Purpose: TRANSFER | CustomerID: de697a62-9e2b-491e-a90b-4e95f3ded105 | RiskRating: Low | KYC: False | Retention: 1 | Initiator: EMP-1021 | Approver: EMP-4108 | SOF: Salary
TXID: 11f4c3e2-b013-45bb-9662-c0e937efa271 | Timestamp: 1993-05-11T00:13:40 | Amount: 5442.81 | Currency: USD | SenderAcct: 7536994951850735 | ReceiverAcct: 0426319306706302 | SenderCountry: CN | ReceiverCountry: DE | Purpose: PAYMENT | CustomerID: 0c00fdbd-657b-4567-b343-13109b97b7c1 | RiskRating: Low | KYC: False | Retention: 1 | Initiator: EMP-1008 | Approver: EMP-1371 | SOF: None
TXID: f84d7b0e-8c45-4757-9dca-7c1cccc3297d | Timestamp: 1985-01-19T21:22:19 | Amount: 2787.56 | Currency: USD | SenderAcct: 3789184179624953 | ReceiverAcct: 7948068972256914 | SenderCountry: DE | ReceiverCountry: FR | Purpose: TRANSFER | CustomerID: 7515872e-0b29-4535-bfb8-ac4027c8dc04 | RiskRating: Low | KYC: False | Retention: 1 | Initiator: EMP-6967 | Approver: EMP-3898 | SOF: None
TXID: 3520ddb7-5e6e-4faf-9330-25e4ead7b17d | Timestamp: 1980-07-29T19:33:08 | Amount: 4771.89 | Currency: USD | SenderAcct: 6211157447317949 | ReceiverAcct: 9030579426581382 | SenderCountry: FR | ReceiverCountry: BR | Purpose: PAYMENT | CustomerID: d504f3f7-268c-4d9f-9bde-3741317b9a6e | RiskRating: High | KYC: False | Retention: 5 | Initiator: EMP-6611 | Approver: EMP-9452 | SOF: None
TXID: 7a17471c-1c14-4e8b-a3ae-fef6b989853a | Timestamp: 1973-11-19T04:47:05 | Amount: 21049.14 | Currency: EUR | SenderAcct: 2349533527440521 | ReceiverAcct: 3888482561830182 | SenderCountry: BR | ReceiverCountry: DE | Purpose: PAYMENT | CustomerID: e53ec3ce-29fb-4255-90c7-845aba16c3f4 | RiskRating: High | KYC: True | Retention: 1 | Initiator: EMP-9852 | Approver: EMP-2694 | SOF: Salary
TXID: 10d82528-503d-4e8d-bbe7-ef3b1f349738 | Timestamp: 1982-04-03T23:54:22 | Amount: 9896.1 | Currency: USD | SenderAcct: 2773655948628162 | ReceiverAcct: 4252900174715054 | SenderCountry: FR | ReceiverCountry: DE | Purpose: PAYMENT | CustomerID: 29685d7c-4a48-4cf1-a43e-bc40f6033730 | RiskRating: Low | KYC: False | Retention: 1 | Initiator: EMP-8616 | Approver: EMP-0691 | SOF: None
TXID: a2d259db-e43d-40ef-8615-0775681cdc55 | Timestamp: 2017-08-04T04:57:16 | Amount: 235.98 | Currency: GBP | SenderAcct: 2742569966253312 | ReceiverAcct: 9695621327391226 | SenderCountry: US | ReceiverCountry: BR | Purpose: CASH | CustomerID: 807d6d4c-c86b-4c2c-b513-756fc614b82e | RiskRating: High | KYC: True | Retention: 10 | Initiator: EMP-0051 | Approver: EMP-9223 | SOF: Investment
TXID: 3a6b268f-f892-43e3-9973-4179afb39c15 | Timestamp: 1975-08-06T00:53:55 | Amount: 10334.44 | Currency: USD | SenderAcct: 6520959004855918 | ReceiverAcct: 4468531928553589 | SenderCountry: BR | ReceiverCountry: FR | Purpose: PAYMENT | CustomerID: ed8bf6c5-30e6-4660-a050-163c05845305 | RiskRating: High | KYC: False | Retention: 10 | Initiator: EMP-3683 | Approver: EMP-1230 | SOF: None
TXID: 060e9c48-e72c-4431-9023-5a916e6f8381 | Timestamp: 2022-12-09T09:28:14 | Amount: 10327.82 | Currency: GBP | SenderAcct: 3181112126546897 | ReceiverAcct: 2000423514931021 | SenderCountry: CN | ReceiverCountry: BR | Purpose: TRANSFER | CustomerID: 02f5a8a5-b31a-4be2-a91f-247b727f4fb4 | RiskRating: Low | KYC: False | Retention: 1 | Initiator: EMP-4039 | Approver: EMP-1641 | SOF: Salary
TXID: d1985af6-9713-4733-aed5-91383b8a7027 | Timestamp: 1975-09-26T14:57:44 | Amount: 5995.82 | Currency: USD | SenderAcct: 8881923829217179 | ReceiverAcct: 3832094420387171 | SenderCountry: CN | ReceiverCountry: FR | Purpose: PAYMENT | CustomerID: 59ef0686-f9e3-4293-8965-312d71f002b0 | RiskRating: Medium | KYC: False | Retention: 1 | Initiator: EMP-9005 | Approver: EMP-8845 | SOF: None
TXID: ec08d309-d8bc-4a41-a815-dc81d950e091 | Timestamp: 2012-04-27T01:06:41 | Amount: 971.98 | Currency: GBP | SenderAcct: 0179946415439286 | ReceiverAcct: 5851855487788775 | SenderCountry: CN | ReceiverCountry: US | Purpose: CASH | CustomerID: 3e60b73e-d199-4fa1-88db-41a8d8cf1de8 | RiskRating: High | KYC: False | Retention: 7 | Initiator: EMP-3062 | Approver: EMP-1383 | SOF: Gift
TXID: 86013995-0561-4824-be42-d7dfbd8231bc | Timestamp: 2006-03-28T20:48:18 | Amount: 21919.3 | Currency: EUR | SenderAcct: 4139238289725733 | ReceiverAcct: 4321334578339088 | SenderCountry: FR | ReceiverCountry: FR | Purpose: PAYMENT | CustomerID: a42b5666-e6ee-45c3-808b-bf36f8eac6c8 | RiskRating: Medium | KYC: False | Retention: 3 | Initiator: EMP-6987 | Approver: EMP-9749 | SOF: Investment
TXID: 92bd9732-6f2c-4da9-a1c1-0cddd2af97d9 | Timestamp: 2020-03-05T13:24:17 | Amount: 10166.31 | Currency: EUR | SenderAcct: 2699341978455982 | ReceiverAcct: 8607389494337954 | SenderCountry: US | ReceiverCountry: CN | Purpose: TRANSFER | CustomerID: 0f23904d-fd5a-4ed6-905d-376b06b8b7a3 | RiskRating: Low | KYC: False | Retention: 1 | Initiator: EMP-5383 | Approver: EMP-3391 | SOF: Salary
TXID: 5f3efe2c-a1ab-452b-8bd6-3bd2ce909146 | Timestamp: 1997-09-02T02:56:36 | Amount: 2237.01 | Currency: USD | SenderAcct: 7013885620136182 | ReceiverAcct: 9467910460139586 | SenderCountry: DE | ReceiverCountry: CN | Purpose: PAYMENT | CustomerID: b91de955-6bf4-44ec-b897-fc98f4f8c382 | RiskRating: Medium | KYC: True | Retention: 10 | Initiator: EMP-3180 | Approver: EMP-8008 | SOF: Salary
TXID: 9f15acd1-ea2a-4288-8653-9cfa95249ce3 | Timestamp: 1994-01-23T08:19:17 | Amount: 7375.28 | Currency: EUR | SenderAcct: 3869995634349131 | ReceiverAcct: 9840413983559685 | SenderCountry: CN | ReceiverCountry: DE | Purpose: CASH | CustomerID: 56a6d333-d469-4571-a01f-87792595aa37 | RiskRating: Medium | KYC: True | Retention: 3 | Initiator: EMP-2200 | Approver: EMP-1482 | SOF: Investment
TXID: 79d687a1-5584-42bb-938d-73c30101a259 | Timestamp: 2013-05-09T16:12:26 | Amount: 5835.22 | Currency: EUR | SenderAcct: 7977790634335020 | ReceiverAcct: 6352349253537804 | SenderCountry: CN | ReceiverCountry: FR | Purpose: TRANSFER | CustomerID: 311bd9e3-87f8-4f9a-bb11-3d09d796c218 | RiskRating: Medium | KYC: True | Retention: 10 | Initiator: EMP-2686 | Approver: EMP-2917 | SOF: Investment
TXID: 786a483d-464e-4264-9def-c35292d3b579 | Timestamp: 1998-09-19T12:17:05 | Amount: 16.24 | Currency: USD | SenderAcct: 7615644199812101 | ReceiverAcct: 9709922572250271 | SenderCountry: DE | ReceiverCountry: CN | Purpose: TRANSFER | CustomerID: ef7ea4e6-a0d9-45c0-be17-f70518ffcee1 | RiskRating: Medium | KYC: False | Retention: 5 | Initiator: EMP-0969 | Approver: EMP-6116 | SOF: None
TXID: c677d101-5ef1-4895-bda9-ab6051ddc400 | Timestamp: 1973-02-17T00:21:43 | Amount: 11060.01 | Currency: GBP | SenderAcct: 6461862124838081 | ReceiverAcct: 0871097533052842 | SenderCountry: US | ReceiverCountry: BR | Purpose: PAYMENT | CustomerID: 41535cad-a99f-4c8b-83b1-b1e00e2f921d | RiskRating: High | KYC: True | Retention: 7 | Initiator: EMP-3514 | Approver: EMP-2718 | SOF: Gift
TXID: b1a32eed-eb2d-4a9d-9d03-96ef5a78e0d5 | Timestamp: 2011-10-21T13:26:48 | Amount: 10915.38 | Currency: GBP | SenderAcct: 8763980790638682 | ReceiverAcct: 9476991219641356 | SenderCountry: DE | ReceiverCountry: US | Purpose: PAYMENT | CustomerID: 10539d99-8761-4e2e-9ab3-76e902030674 | RiskRating: Low | KYC: False | Retention: 10 | Initiator: EMP-0027 | Approver: EMP-3613 | SOF: None
TXID: e8141fea-b88c-4cdf-9266-a01e7bcd55c3 | Timestamp: 2025-03-10T18:31:12 | Amount: 2188.39 | Currency: USD | SenderAcct: 8303576827106717 | ReceiverAcct: 7115566437555047 | SenderCountry: US | ReceiverCountry: US | Purpose: TRANSFER | CustomerID: 24071cdf-7374-4f32-b1f7-f8120504bdd0 | RiskRating: Medium | KYC: True | Retention: 3 | Initiator: EMP-8187 | Approver: EMP-4017 | SOF: Gift
TXID: c13ce36e-b948-4177-a564-e36bb6ab82f8 | Timestamp: 1972-04-27T23:59:38 | Amount: 998.24 | Currency: EUR | SenderAcct: 2727332668030298 | ReceiverAcct: 9962381282065337 | SenderCountry: CN | ReceiverCountry: BR | Purpose: PAYMENT | CustomerID: 967f3324-807d-4789-8d0a-35fd640d4d84 | RiskRating: Medium | KYC: True | Retention: 7 | Initiator: EMP-3218 | Approver: EMP-4051 | SOF: Gift
TXID: b0c79572-09a0-436c-9a05-806e7c9447ea | Timestamp: 1975-05-23T21:05:08 | Amount: 10623.43 | Currency: USD | SenderAcct: 1976452733484580 | ReceiverAcct: 4471139218755379 | SenderCountry: DE | ReceiverCountry: CN | Purpose: CASH | CustomerID: db46db5e-9f7e-4db9-96db-34677871f647 | RiskRating: Low | KYC: False | Retention: 5 | Initiator: EMP-4858 | Approver: EMP-9920 | SOF: Salary
TXID: d5c95e18-72c7-4647-adf9-6e29c36c6fce | Timestamp: 1975-04-28T22:37:31 | Amount: 2900.94 | Currency: USD | SenderAcct: 7734074974963138 | ReceiverAcct: 5091208462273456 | SenderCountry: BR | ReceiverCountry: CN | Purpose: CASH | CustomerID: 56de8e91-4b31-452d-85d5-c7191967ac58 | RiskRating: Low | KYC: True | Retention: 3 | Initiator: EMP-8424 | Approver: EMP-0491 | SOF: Salary
TXID: bbf06a35-3d02-4a3f-b073-e14ec52a5371 | Timestamp: 1972-08-31T08:30:00 | Amount: 18262.05 | Currency: USD | SenderAcct: 9780796998204875 | ReceiverAcct: 5731767320675772 | SenderCountry: US | ReceiverCountry: DE | Purpose: TRANSFER | CustomerID: bdf5c306-6845-458c-a4b8-d139d5e73552 | RiskRating: Low | KYC: True | Retention: 3 | Initiator: EMP-5400 | Approver: EMP-6028 | SOF: None
TXID: acf8677d-f63d-492e-85ce-33e457fad4c1 | Timestamp: 1987-10-17T02:59:50 | Amount: 1379.22 | Currency: USD | SenderAcct: 1292364109973709 | ReceiverAcct: 6798782233802552 | SenderCountry: BR | ReceiverCountry: DE | Purpose: TRANSFER | CustomerID: b5b973ff-6da9-436f-9484-88430240cd10 | RiskRating: Low | KYC: False | Retention: 3 | Initiator: EMP-5173 | Approver: EMP-8175 | SOF: None
TXID: aeedc8b2-0482-4e23-ab71-34cfa6f61d6c | Timestamp: 1978-09-19T09:38:41 | Amount: 7062.48 | Currency: USD | SenderAcct: 0603850143939762 | ReceiverAcct: 5232563910488668 | SenderCountry: FR | ReceiverCountry: FR | Purpose: CASH | CustomerID: 3b84afb7-c8c5-47f7-8254-857607122db2 | RiskRating: Low | KYC: True | Retention: 10 | Initiator: EMP-4726 | Approver: EMP-9436 | SOF: Investment
TXID: 997e9bd7-eb8c-4ffe-851b-3b466b4a8bd1 | Timestamp: 1971-06-11T05:25:24 | Amount: 293.07 | Currency: EUR | SenderAcct: 6328477823999871 | ReceiverAcct: 8287325626433647 | SenderCountry: CN | ReceiverCountry: CN | Purpose: PAYMENT | CustomerID: ad33934c-adff-4c14-b86e-a9d0551c2228 | RiskRating: Medium | KYC: False | Retention: 7 | Initiator: EMP-4340 | Approver: EMP-8555 | SOF: None
TXID: be42ff8d-fc07-4736-b60a-bccdde0bb2b8 | Timestamp: 2019-09-24T01:15:58 | Amount: 9256.85 | Currency: EUR | SenderAcct: 3968304116398012 | ReceiverAcct: 1522087794732145 | SenderCountry: US | ReceiverCountry: CN | Purpose: TRANSFER | CustomerID: 36023fb3-8052-4716-8a4e-0f39e681efbc | RiskRating: Medium | KYC: False | Retention: 5 | Initiator: EMP-3766 | Approver: EMP-5358 | SOF: None
TXID: 477f04b3-0c4e-49af-891c-f3556c5a85f3 | Timestamp: 1976-02-02T18:05:26 | Amount: 10480.92 | Currency: GBP | SenderAcct: 8290432647170985 | ReceiverAcct: 8493205934556189 | SenderCountry: FR | ReceiverCountry: BR | Purpose: CASH | CustomerID: 8d0a3614-c1be-4457-aa13-15f5042356ce | RiskRating: High | KYC: True | Retention: 7 | Initiator: EMP-2779 | Approver: EMP-5759 | SOF: Salary
TXID: 8e2e237b-9aa6-4f88-98ad-2cb4897f162e | Timestamp: 2019-07-06T09:47:10 | Amount: 2954.3 | Currency: USD | SenderAcct: 3506071124702448 | ReceiverAcct: 0800727636864293 | SenderCountry: FR | ReceiverCountry: BR | Purpose: PAYMENT | CustomerID: 7fe45e41-8e4c-4b19-b11f-9072addfaf4e | RiskRating: High | KYC: True | Retention: 5 | Initiator: EMP-3424 | Approver: EMP-5419 | SOF: Investment
TXID: 16256b2d-fc2e-45d2-9c9b-cb6052d524cb | Timestamp: 2008-10-29T09:17:12 | Amount: 13874.31 | Currency: EUR | SenderAcct: 2077197921491093 | ReceiverAcct: 1526028597525024 | SenderCountry: DE | ReceiverCountry: DE | Purpose: PAYMENT | CustomerID: 44a801ea-9fd6-4444-a25e-7f708e13aafc | RiskRating: Low | KYC: True | Retention: 3 | Initiator: EMP-1910 | Approver: EMP-9580 | SOF: None
TXID: aeb7d06f-f29e-4551-b66c-6ffe2e5975a6 | Timestamp: 2000-07-09T14:37:30 | Amount: 9302.94 | Currency: EUR | SenderAcct: 9001321832704602 | ReceiverAcct: 1501992469210831 | SenderCountry: US | ReceiverCountry: DE | Purpose: CASH | CustomerID: 10b1cb1a-aaee-4347-a86f-5caf15e43ede | RiskRating: High | KYC: True | Retention: 7 | Initiator: EMP-8933 | Approver: EMP-7273 | SOF: Gift
TXID: 4587e04c-570f-407b-9948-3fbdf5085459 | Timestamp: 1998-01-15T03:42:33 | Amount: 2834.2 | Currency: GBP | SenderAcct: 2993048422910624 | ReceiverAcct: 6951544481482393 | SenderCountry: BR | ReceiverCountry: FR | Purpose: PAYMENT | CustomerID: 3ee8c44c-e040-4f42-89df-adad60a982f5 | RiskRating: High | KYC: True | Retention: 7 | Initiator: EMP-7194 | Approver: EMP-0081 | SOF: Salary
TXID: 82657a09-3b59-463d-b299-2cf00fa7e33c | Timestamp: 1982-10-03T01:32:42 | Amount: 3525.01 | Currency: GBP | SenderAcct: 8041309767302324 | ReceiverAcct: 5973876392580344 | SenderCountry: DE | ReceiverCountry: FR | Purpose: TRANSFER | CustomerID: fc26c3f3-eace-40a3-b312-91abe88e6d57 | RiskRating: High | KYC: True | Retention: 7 | Initiator: EMP-8772 | Approver: EMP-0565 | SOF: Salary
TXID: 32fcb971-4826-448c-8b64-b6a466b31eb1 | Timestamp: 2008-04-23T05:15:22 | Amount: 7599.3 | Currency: USD | SenderAcct: 6930624402554445 | ReceiverAcct: 1351290738203789 | SenderCountry: CN | ReceiverCountry: CN | Purpose: TRANSFER | CustomerID: 7fa96ba5-457f-4862-a00c-49c22c944428 | RiskRating: Medium | KYC: True | Retention: 5 | Initiator: EMP-9230 | Approver: EMP-2554 | SOF: Gift
TXID: 96d3c4cd-6b16-47af-b701-60e6c027717d | Timestamp: 1991-04-23T09:48:12 | Amount: 14514.94 | Currency: GBP | SenderAcct: 2826093965401877 | ReceiverAcct: 5771315245884419 | SenderCountry: DE | ReceiverCountry: CN | Purpose: TRANSFER | CustomerID: a117da74-5366-4959-95be-e71678740038 | RiskRating: High | KYC: False | Retention: 10 | Initiator: EMP-6566 | Approver: EMP-0627 | SOF: Gift
TXID: 36fbad63-41bf-40e6-a55c-76dcf213bb5c | Timestamp: 2025-06-07T04:48:58 | Amount: 4505.95 | Currency: EUR | SenderAcct: 1801811156329554 | ReceiverAcct: 3634080029863119 | SenderCountry: CN | ReceiverCountry: US | Purpose: CASH | CustomerID: ae792d20-3bb1-4d5a-98e6-f146e0ea4ccd | RiskRating: High | KYC: False | Retention: 1 | Initiator: EMP-3259 | Approver: EMP-3672 | SOF: Investment
